lambda (nm)	A (1 drop)	A (4 drops)	A (6 drops)
462.29	0.122	0.328	0.548
462.461	0.122	0.327	0.545
462.633	0.122	0.326	0.543
462.805	0.122	0.325	0.541
462.977	0.122	0.325	0.539
463.149	0.122	0.324	0.537
463.32	0.121	0.323	0.535
463.492	0.121	0.322	0.533
463.664	0.121	0.321	0.53
463.836	0.121	0.32	0.528
464.008	0.121	0.32	0.525
464.18	0.12	0.319	0.523
464.351	0.12	0.318	0.519
464.523	0.119	0.317	0.517
464.695	0.119	0.316	0.515
464.867	0.119	0.315	0.512
465.039	0.119	0.314	0.511
465.21	0.118	0.313	0.509
465.382	0.118	0.312	0.507
465.554	0.117	0.311	0.505
465.726	0.117	0.31	0.503
465.898	0.117	0.309	0.503
466.07	0.117	0.309	0.502
466.241	0.116	0.307	0.5
466.413	0.116	0.307	0.498
466.585	0.116	0.306	0.497
466.757	0.116	0.305	0.497
466.929	0.117	0.305	0.496
467.101	0.116	0.304	0.494
467.272	0.116	0.303	0.493
467.444	0.116	0.303	0.492
467.616	0.116	0.302	0.491
467.788	0.116	0.301	0.489
467.96	0.116	0.301	0.488
468.132	0.116	0.301	0.487
468.303	0.116	0.3	0.485
468.475	0.116	0.299	0.483
468.647	0.116	0.299	0.482
468.819	0.116	0.297	0.48
468.991	0.116	0.297	0.479
469.163	0.116	0.296	0.477
469.335	0.116	0.295	0.476
469.506	0.115	0.294	0.474
469.678	0.115	0.293	0.472
469.85	0.115	0.293	0.471
470.022	0.115	0.292	0.469
470.194	0.115	0.292	0.467
470.366	0.115	0.291	0.466
470.538	0.114	0.291	0.464
470.709	0.115	0.29	0.463
470.881	0.114	0.289	0.461
471.053	0.114	0.288	0.459
471.225	0.113	0.287	0.457
471.397	0.113	0.287	0.456
471.569	0.113	0.286	0.455
471.741	0.113	0.285	0.453
471.912	0.113	0.284	0.451
472.084	0.113	0.284	0.45
472.256	0.112	0.282	0.447
472.428	0.112	0.281	0.446
472.6	0.112	0.28	0.444
472.772	0.112	0.279	0.442
472.944	0.112	0.277	0.439
473.115	0.112	0.276	0.437
473.287	0.112	0.275	0.435
473.459	0.112	0.274	0.433
473.631	0.112	0.273	0.43
473.803	0.112	0.272	0.428
473.975	0.112	0.271	0.425
474.147	0.112	0.269	0.422
474.319	0.112	0.268	0.419
474.49	0.111	0.267	0.417
474.662	0.111	0.265	0.414
474.834	0.11	0.263	0.411
475.006	0.11	0.262	0.408
475.178	0.109	0.26	0.406
475.35	0.108	0.258	0.403
475.522	0.108	0.256	0.4
475.694	0.107	0.254	0.397
475.865	0.107	0.252	0.395
476.037	0.106	0.25	0.392
476.209	0.105	0.248	0.389
476.381	0.104	0.246	0.386
476.553	0.104	0.245	0.384
476.725	0.103	0.243	0.382
476.897	0.103	0.241	0.379
477.069	0.102	0.24	0.377
477.241	0.102	0.238	0.375
477.413	0.102	0.236	0.373
477.584	0.102	0.235	0.37
477.756	0.101	0.234	0.368
477.928	0.101	0.233	0.365
478.1	0.101	0.231	0.363
478.272	0.101	0.23	0.36
478.444	0.1	0.229	0.358
478.616	0.1	0.227	0.355
478.788	0.1	0.225	0.352
478.96	0.1	0.224	0.349
479.132	0.1	0.222	0.346
479.303	0.099	0.221	0.343
479.475	0.099	0.219	0.34
479.647	0.098	0.217	0.337
479.819	0.097	0.216	0.334
479.991	0.097	0.214	0.331
480.163	0.096	0.212	0.328
480.335	0.096	0.211	0.326
480.507	0.095	0.209	0.323
480.679	0.095	0.208	0.321
480.851	0.094	0.207	0.319
481.023	0.094	0.205	0.316
481.194	0.093	0.204	0.314
481.366	0.093	0.203	0.312
481.538	0.093	0.201	0.309
481.71	0.092	0.2	0.307
481.882	0.092	0.199	0.305
482.054	0.092	0.197	0.303
482.226	0.092	0.196	0.301
482.398	0.091	0.194	0.298
482.57	0.091	0.193	0.296
482.742	0.09	0.191	0.293
482.914	0.09	0.189	0.29
483.086	0.09	0.187	0.288
483.258	0.089	0.185	0.285
483.429	0.089	0.184	0.283
483.601	0.089	0.182	0.28
483.773	0.088	0.18	0.278
483.945	0.088	0.179	0.275
484.117	0.088	0.177	0.273
484.289	0.087	0.176	0.271
484.461	0.087	0.174	0.268
484.633	0.086	0.173	0.266
484.805	0.086	0.171	0.264
484.977	0.086	0.17	0.262
485.149	0.086	0.169	0.26
485.321	0.086	0.168	0.258
485.493	0.085	0.166	0.256
485.665	0.085	0.165	0.254
485.837	0.085	0.164	0.252
486.009	0.084	0.163	0.25
486.18	0.084	0.162	0.248
486.352	0.084	0.161	0.246
486.524	0.083	0.159	0.243
486.696	0.083	0.158	0.241
486.868	0.083	0.157	0.239
487.04	0.083	0.155	0.237
487.212	0.082	0.154	0.235
487.384	0.082	0.153	0.233
487.556	0.082	0.152	0.232
487.728	0.081	0.15	0.23
487.9	0.081	0.149	0.228
488.072	0.08	0.148	0.226
488.244	0.08	0.147	0.224
488.416	0.08	0.146	0.223
488.588	0.08	0.145	0.221
488.76	0.079	0.144	0.219
488.932	0.079	0.143	0.217
489.104	0.079	0.142	0.216
489.276	0.078	0.141	0.214
489.448	0.078	0.14	0.212
489.62	0.078	0.139	0.21
489.792	0.077	0.138	0.209
489.964	0.077	0.138	0.207
490.135	0.077	0.136	0.205
490.307	0.077	0.136	0.204
490.479	0.077	0.135	0.202
490.651	0.077	0.134	0.2
490.823	0.077	0.133	0.199
490.995	0.077	0.132	0.197
491.167	0.077	0.131	0.196
491.339	0.077	0.13	0.195
491.511	0.077	0.129	0.194
491.683	0.077	0.128	0.192
491.855	0.077	0.127	0.191
492.027	0.077	0.127	0.19
492.199	0.077	0.126	0.189
492.371	0.077	0.125	0.187
492.543	0.077	0.124	0.186
492.715	0.077	0.124	0.185
492.887	0.076	0.123	0.184
493.059	0.076	0.122	0.183
493.231	0.076	0.122	0.181
493.403	0.075	0.121	0.18
493.575	0.075	0.121	0.178
493.747	0.075	0.12	0.177
493.919	0.074	0.12	0.176
494.091	0.074	0.119	0.174
494.263	0.074	0.119	0.173
494.435	0.074	0.118	0.172
494.607	0.073	0.118	0.17
494.779	0.073	0.118	0.169
494.951	0.073	0.117	0.168
495.123	0.073	0.117	0.167
495.295	0.073	0.116	0.166
495.467	0.073	0.116	0.165
495.639	0.073	0.116	0.164
495.811	0.073	0.115	0.163
495.983	0.073	0.114	0.162
496.155	0.072	0.114	0.161
496.327	0.072	0.113	0.161
496.499	0.072	0.113	0.16
496.671	0.072	0.112	0.159
496.843	0.072	0.112	0.158
497.015	0.072	0.111	0.158
497.187	0.071	0.111	0.157
497.359	0.071	0.11	0.156
497.531	0.071	0.11	0.155
497.703	0.07	0.109	0.154
497.875	0.07	0.109	0.153
498.047	0.07	0.109	0.153
498.219	0.07	0.108	0.152
498.391	0.07	0.108	0.151
498.563	0.07	0.108	0.151
498.735	0.07	0.107	0.15
498.907	0.07	0.107	0.149
499.079	0.07	0.107	0.149
499.251	0.07	0.106	0.148
499.423	0.07	0.106	0.148
499.595	0.07	0.106	0.147
499.767	0.07	0.105	0.146
499.939	0.07	0.105	0.146
500.111	0.07	0.105	0.145
500.283	0.07	0.104	0.144
500.455	0.07	0.104	0.144
500.627	0.07	0.103	0.143
500.799	0.069	0.103	0.142
500.971	0.069	0.103	0.141
501.144	0.069	0.102	0.141
501.316	0.069	0.102	0.14
501.488	0.069	0.102	0.139
501.66	0.069	0.101	0.139
501.832	0.068	0.101	0.138
502.004	0.068	0.101	0.138
502.176	0.068	0.101	0.137
502.348	0.068	0.1	0.136
502.52	0.068	0.1	0.136
502.692	0.068	0.099	0.135
502.864	0.068	0.099	0.135
503.036	0.068	0.099	0.134
503.208	0.068	0.099	0.134
503.38	0.068	0.098	0.133
503.552	0.068	0.098	0.133
503.724	0.067	0.098	0.132
503.896	0.067	0.098	0.132
504.068	0.067	0.098	0.132
504.24	0.067	0.097	0.131
504.412	0.067	0.097	0.131
504.584	0.067	0.097	0.13
504.756	0.067	0.097	0.129
504.928	0.067	0.097	0.129
505.101	0.067	0.097	0.129
505.273	0.067	0.097	0.128
505.445	0.067	0.096	0.128
505.617	0.067	0.096	0.128
505.789	0.067	0.096	0.127
505.961	0.067	0.096	0.127
506.133	0.067	0.096	0.127
506.305	0.067	0.095	0.126
506.477	0.067	0.095	0.126
506.649	0.067	0.095	0.126
506.821	0.067	0.095	0.125
506.993	0.067	0.095	0.125
507.165	0.067	0.095	0.124
507.337	0.067	0.094	0.124
507.509	0.067	0.094	0.124
507.681	0.067	0.094	0.123
507.854	0.067	0.094	0.123
508.026	0.067	0.094	0.122
508.198	0.067	0.094	0.122
508.37	0.067	0.094	0.122
508.542	0.067	0.094	0.122
508.714	0.067	0.094	0.121
508.886	0.067	0.094	0.121
509.058	0.067	0.094	0.121
509.23	0.067	0.093	0.12
509.402	0.067	0.093	0.12
509.574	0.067	0.093	0.12
509.746	0.067	0.093	0.12
509.918	0.067	0.093	0.12
510.091	0.067	0.093	0.119
510.263	0.067	0.093	0.119
510.435	0.067	0.093	0.119
510.607	0.067	0.093	0.119
510.779	0.067	0.092	0.119
510.951	0.067	0.092	0.119
511.123	0.066	0.092	0.118
511.295	0.066	0.092	0.118
511.467	0.066	0.092	0.118
511.639	0.066	0.092	0.117
511.811	0.066	0.091	0.117
511.984	0.065	0.091	0.117
512.156	0.065	0.091	0.116
512.328	0.065	0.091	0.116
512.5	0.065	0.091	0.116
512.672	0.065	0.091	0.116
512.844	0.065	0.091	0.115
513.016	0.065	0.091	0.115
513.188	0.065	0.091	0.115
513.36	0.065	0.09	0.114
